Ligand ID,Structure ID,Structure link,Glytoucan ID,Glytoucan link
5,5,https://sugarbind.expasy.org/structures/5,G71142DF,https://glytoucan.org/Structures/Glycans/G71142DF
150,142,https://sugarbind.expasy.org/structures/142,G14300ZJ,https://glytoucan.org/Structures/Glycans/G14300ZJ
111,105,https://sugarbind.expasy.org/structures/105,G28566CQ,https://glytoucan.org/Structures/Glycans/G28566CQ
109,103,https://sugarbind.expasy.org/structures/103,G03067VG,https://glytoucan.org/Structures/Glycans/G03067VG
93,87,https://sugarbind.expasy.org/structures/87,G24034CH,https://glytoucan.org/Structures/Glycans/G24034CH
10,10,https://sugarbind.expasy.org/structures/10,G78074HX,https://glytoucan.org/Structures/Glycans/G78074HX
202,189,https://sugarbind.expasy.org/structures/189,G72506RN,https://glytoucan.org/Structures/Glycans/G72506RN
3,3,https://sugarbind.expasy.org/structures/3,G84224TW,https://glytoucan.org/Structures/Glycans/G84224TW
143,135,https://sugarbind.expasy.org/structures/135,G20420WT,https://glytoucan.org/Structures/Glycans/G20420WT
174,163,https://sugarbind.expasy.org/structures/163,G45827GY,https://glytoucan.org/Structures/Glycans/G45827GY
26,24,https://sugarbind.expasy.org/structures/24,G00049MO,https://glytoucan.org/Structures/Glycans/G00049MO
20,20,https://sugarbind.expasy.org/structures/20,G06239NA,https://glytoucan.org/Structures/Glycans/G06239NA
24,8,https://sugarbind.expasy.org/structures/8,G78436BB,https://glytoucan.org/Structures/Glycans/G78436BB
171,161,https://sugarbind.expasy.org/structures/161,G50850NI,https://glytoucan.org/Structures/Glycans/G50850NI
23,8,https://sugarbind.expasy.org/structures/8,G78436BB,https://glytoucan.org/Structures/Glycans/G78436BB
170,161,https://sugarbind.expasy.org/structures/161,G50850NI,https://glytoucan.org/Structures/Glycans/G50850NI
155,147,https://sugarbind.expasy.org/structures/147,G00047MO,https://glytoucan.org/Structures/Glycans/G00047MO
56,54,https://sugarbind.expasy.org/structures/54,G26123AX,https://glytoucan.org/Structures/Glycans/G26123AX
146,138,https://sugarbind.expasy.org/structures/138,G39211DH,https://glytoucan.org/Structures/Glycans/G39211DH
112,106,https://sugarbind.expasy.org/structures/106,G09552LA,https://glytoucan.org/Structures/Glycans/G09552LA
157,149,https://sugarbind.expasy.org/structures/149,G01187XC,https://glytoucan.org/Structures/Glycans/G01187XC
199,187,https://sugarbind.expasy.org/structures/187,G89659QV,https://glytoucan.org/Structures/Glycans/G89659QV
